,RaceId,DriverId,ConstructorId,QualifyingPosition
2998,1,1,1,15
2994,1,2,2,11
2988,1,3,3,5
2995,1,4,4,12
2997,1,5,1,14
2996,1,6,3,13
3003,1,7,5,20
2992,1,8,6,9
2987,1,9,2,4
2989,1,10,7,6
3000,1,12,4,17
2990,1,13,6,7
2991,1,15,7,8
3002,1,16,10,19
2993,1,17,9,10
2984,1,18,23,1
2986,1,20,9,3
3001,1,21,10,18
2985,1,22,23,2
2999,1,67,5,16
3016,2,1,1,13
3014,2,2,2,11
3009,2,3,3,6
3013,2,4,4,10
3017,2,5,1,14
3015,2,6,3,12
3018,2,7,5,15
3012,2,8,6,9
3011,2,9,2,8
3008,2,10,7,5
3020,2,12,4,17
3019,2,13,6,16
3005,2,15,7,2
3022,2,16,10,19
3010,2,17,9,7
3004,2,18,23,1
3006,2,20,9,3
3021,2,21,10,18
3007,2,22,23,4
3023,2,67,5,20
3032,3,1,1,9
3034,3,2,2,11
3030,3,3,3,7
3025,3,4,4,2
3035,3,5,1,12
3038,3,6,3,15
3039,3,7,5,16
3031,3,8,6,8
3041,3,9,2,18
3037,3,10,7,14
3040,3,12,4,17
3036,3,13,6,13
3029,3,15,7,6
3042,3,16,10,19
3026,3,17,9,3
3028,3,18,23,5
3024,3,20,9,1
3043,3,21,10,20
3027,3,22,23,4
3033,3,67,5,10
3048,4,1,1,5
3057,4,2,2,14
3052,4,3,3,9
3050,4,4,4,7
3054,4,5,1,11
3055,4,6,3,12
3063,4,7,5,20
3053,4,8,6,10
3056,4,9,2,13
3045,4,10,7,2
3058,4,12,4,15
3051,4,13,6,8
3044,4,15,7,1
3059,4,16,10,16
3062,4,17,9,19
3047,4,18,23,4
3046,4,20,9,3
3061,4,21,10,18
3049,4,22,23,6
3060,4,67,5,17
3077,5,1,1,14
3076,5,2,2,13
3072,5,3,3,9
3071,5,4,4,8
3081,5,5,1,18
3074,5,6,3,11
3080,5,7,5,17
3079,5,8,6,16
3073,5,9,2,10
3069,5,10,7,6
3075,5,12,4,12
3067,5,13,6,4
3070,5,15,7,7
3082,5,16,10,19
3068,5,17,9,5
3064,5,18,23,1
3065,5,20,9,2
3083,5,21,10,20
3066,5,22,23,3
3078,5,67,5,15
3099,6,1,1,16
3100,6,2,2,17
3089,6,3,3,6
3092,6,4,4,9
3090,6,5,1,7
3093,6,6,3,10
3097,6,7,5,14
3085,6,8,6,2
3101,6,9,2,18
3103,6,10,7,20
3095,6,12,4,12
3088,6,13,6,5
3102,6,15,7,19
3098,6,16,10,15
3091,6,17,9,8
3084,6,18,23,1
3087,6,20,9,4
3096,6,21,10,13
3086,6,22,23,3
3094,6,67,5,11
3119,7,1,1,16
3114,7,2,2,11
3112,7,3,3,9
3111,7,4,4,8
3117,7,5,1,14
3115,7,6,3,12
3123,7,7,5,20
3109,7,8,6,6
3113,7,9,2,10
3116,7,10,7,13
3120,7,12,4,17
3110,7,13,6,7
3108,7,15,7,5
3118,7,16,10,15
3107,7,17,9,4
3105,7,18,23,2
3104,7,20,9,1
3122,7,21,10,19
3106,7,22,23,3
3121,7,67,5,18
3142,8,1,1,19
3138,8,2,2,15
3130,8,3,3,7
3133,8,4,4,10
3136,8,5,1,13
3128,8,6,3,5
3140,8,7,5,17
3132,8,8,6,9
3135,8,9,2,12
3131,8,10,7,8
3137,8,12,4,14
3134,8,13,6,11
3127,8,15,7,4
3141,8,16,10,18
3126,8,17,9,3
3129,8,18,23,6
3124,8,20,9,1
3139,8,21,10,16
3125,8,22,23,2
3143,8,67,5,20
3148,9,1,1,5
3154,9,2,2,11
3158,9,3,3,15
3155,9,4,4,12
3149,9,5,1,6
3156,9,6,3,13
3163,9,7,5,20
3152,9,8,6,9
3159,9,9,2,16
3162,9,10,7,19
3153,9,12,4,10
3151,9,13,6,8
3157,9,15,7,14
3150,9,16,10,7
3144,9,17,9,1
3146,9,18,23,3
3147,9,20,9,4
3161,9,21,10,18
3145,9,22,23,2
3160,9,67,5,17
3167,10,1,1,4
3179,10,2,2,16
3168,10,3,3,5
3164,10,4,4,1
3169,10,5,1,6
3172,10,6,3,9
3170,10,8,6,7
3182,10,9,2,19
3177,10,10,7,14
3178,10,12,4,15
3173,10,13,6,10
3175,10,15,7,12
3181,10,16,10,18
3166,10,17,9,3
3171,10,18,23,8
3165,10,20,9,2
3180,10,21,10,17
3176,10,22,23,13
3174,10,67,5,11
3183,10,153,5,20
3184,11,1,1,1
3194,11,2,2,11
3190,11,3,3,7
3191,11,4,4,8
3185,11,5,1,2
3200,11,6,3,17
3189,11,8,6,6
3193,11,9,2,10
3196,11,10,7,13
3201,11,15,7,18
3195,11,16,10,12
3192,11,17,9,9
3188,11,18,23,5
3187,11,20,9,4
3199,11,21,10,16
3186,11,22,23,3
3198,11,67,5,15
3203,11,69,6,20
3202,11,153,5,19
3197,11,154,4,14
3215,12,1,1,12
3206,12,2,2,3
3213,12,3,3,10
3216,12,4,4,13
3218,12,5,1,15
3221,12,6,3,18
3209,12,8,6,6
3208,12,9,2,5
3210,12,10,7,7
3205,12,15,7,2
3214,12,16,10,11
3212,12,17,9,9
3217,12,18,23,14
3211,12,20,9,8
3204,12,21,10,1
3207,12,22,23,4
3219,12,67,5,16
3223,12,69,6,20
3220,12,153,5,17
3222,12,154,4,19
3224,13,1,1,1
3238,13,2,2,15
3241,13,3,3,18
3231,13,4,4,8
3227,13,5,1,4
3240,13,6,3,17
3226,13,8,6,3
3236,13,9,2,13
3239,13,10,7,16
3234,13,15,7,11
3225,13,16,10,2
3233,13,17,9,10
3229,13,18,23,6
3232,13,20,9,9
3237,13,21,6,14
3228,13,22,23,5
3230,13,24,10,7
3242,13,67,5,19
3243,13,153,5,20
3235,13,154,4,12
3244,14,1,1,1
3251,14,2,2,8
3246,14,3,3,3
3249,14,4,4,6
3253,14,5,1,10
3254,14,6,3,11
3256,14,8,6,13
3252,14,9,2,9
3250,14,10,7,7
3258,14,15,7,15
3259,14,16,10,16
3247,14,17,9,4
3255,14,18,23,12
3245,14,20,9,2
3261,14,21,6,18
3248,14,22,23,5
3263,14,24,10,20
3257,14,67,5,14
3260,14,153,5,17
3262,14,154,4,19
3266,15,1,1,3
3269,15,2,2,6
3274,15,3,3,11
3275,15,4,4,12
3272,15,5,1,9
3280,15,6,3,17
3271,15,8,6,8
3276,15,9,2,13
3277,15,10,7,14
3265,15,15,7,2
3267,15,16,10,4
3283,15,17,9,20
3270,15,18,23,7
3264,15,20,9,1
3279,15,21,6,16
3268,15,22,23,5
3282,15,24,10,19
3273,15,67,5,10
3278,15,153,5,15
3281,15,154,4,18
3301,16,1,1,18
3302,16,2,2,19
3290,16,3,3,7
3293,16,4,4,10
3300,16,5,1,17
3292,16,6,3,9
3288,16,8,6,5
3291,16,9,2,8
3287,16,15,7,4
3286,16,16,10,3
3285,16,17,9,2
3297,16,18,23,14
3299,16,20,9,16
3303,16,21,6,20
3284,16,22,23,1
3298,16,24,10,15
3289,16,67,5,6
3295,16,153,5,12
3296,16,154,4,13
3294,16,155,7,11
3304,17,1,1,1
3311,17,2,2,8
3312,17,3,3,9
3319,17,4,4,16
3316,17,5,1,13
3317,17,6,3,14
3314,17,8,6,11
3310,17,9,2,7
3309,17,15,7,6
3321,17,16,10,18
3306,17,17,9,3
3308,17,18,23,5
3305,17,20,9,2
3323,17,21,6,20
3307,17,22,23,4
3320,17,24,10,17
3313,17,67,5,10
3318,17,153,5,15
3322,17,154,4,19
3315,17,155,7,12
0,18,1,1,1
4,18,2,2,5
6,18,3,3,7
11,18,4,4,12
2,18,5,1,3
13,18,6,3,14
17,18,7,5,18
15,18,8,6,16
1,18,9,2,2
8,18,10,7,9
19,18,11,8,20
20,18,12,4,21
3,18,13,6,4
7,18,14,9,8
5,18,15,7,6
18,18,16,10,19
14,18,17,9,15
12,18,18,11,13
21,18,19,8,22
9,18,20,5,10
16,18,21,10,17
10,18,22,11,11
25,19,1,1,4
28,19,2,2,7
37,19,3,3,16
30,19,4,4,9
24,19,5,1,3
39,19,6,3,18
40,19,7,5,19
23,19,8,6,2
27,19,9,2,6
31,19,10,7,10
41,19,11,8,20
34,19,12,4,13
22,19,13,6,1
33,19,14,9,12
26,19,15,7,5
42,19,16,10,21
29,19,17,9,8
32,19,18,11,11
43,19,19,8,22
36,19,20,5,15
38,19,21,10,17
35,19,22,11,14
46,20,1,1,3
49,20,2,2,6
51,20,3,3,8
53,20,4,4,10
48,20,5,1,5
59,20,6,3,16
58,20,7,5,15
47,20,8,6,4
44,20,9,2,1
56,20,10,7,13
65,20,11,8,22
57,20,12,4,14
45,20,13,6,2
60,20,14,9,17
50,20,15,7,7
63,20,16,10,20
54,20,17,9,11
52,20,18,11,9
64,20,19,8,21
62,20,20,5,19
61,20,21,10,18
55,20,22,11,12
70,21,1,1,5
74,21,2,2,9
80,21,3,3,15
67,21,4,4,2
71,21,5,1,6
77,21,6,3,12
81,21,7,5,16
66,21,8,6,1
69,21,9,2,4
79,21,10,7,14
87,21,11,8,22
75,21,12,4,10
68,21,13,6,3
82,21,14,9,17
73,21,15,7,8
85,21,16,10,20
72,21,17,9,7
78,21,18,11,13
86,21,19,8,21
83,21,20,5,18
84,21,21,10,19
76,21,22,11,11
90,22,1,1,3
96,22,2,2,9
98,22,3,3,11
94,22,4,4,7
89,22,5,1,2
103,22,6,3,16
105,22,7,5,18
91,22,8,6,4
92,22,9,2,5
102,22,10,7,15
104,22,12,4,17
88,22,13,6,1
97,22,14,9,10
95,22,15,7,8
107,22,16,10,20
93,22,17,9,6
100,22,18,11,13
101,22,20,5,14
106,22,21,10,19
99,22,22,11,12
110,23,1,1,3
120,23,2,2,13
113,23,3,3,6
114,23,4,4,7
111,23,5,1,4
121,23,6,3,14
123,23,7,5,16
109,23,8,6,2
112,23,9,2,5
118,23,10,7,11
124,23,12,4,17
108,23,13,6,1
117,23,14,9,10
115,23,15,7,8
126,23,16,10,19
116,23,17,9,9
119,23,18,11,12
125,23,20,5,18
127,23,21,10,20
122,23,22,11,15
128,24,1,1,1
135,24,2,2,8
132,24,3,3,5
131,24,4,4,4
134,24,5,1,7
139,24,6,3,12
143,24,7,5,16
130,24,8,6,3
129,24,9,2,2
138,24,10,7,11
142,24,12,4,15
133,24,13,6,6
140,24,14,9,13
141,24,15,7,14
144,24,16,10,17
137,24,17,9,10
146,24,18,11,19
147,24,20,5,20
145,24,21,10,18
136,24,22,11,9
150,25,1,1,3
159,25,2,2,12
162,25,3,3,15
151,25,4,4,4
153,25,5,1,6
163,25,6,3,16
161,25,7,5,14
148,25,8,6,1
154,25,9,2,7
157,25,10,7,10
158,25,12,4,11
149,25,13,6,2
156,25,14,9,9
152,25,15,7,5
167,25,16,10,20
155,25,17,9,8
164,25,18,11,17
160,25,20,5,13
166,25,21,10,19
165,25,22,11,18
171,26,1,1,4
172,26,2,2,5
185,26,3,3,18
173,26,4,4,6
168,26,5,1,1
182,26,6,3,15
180,26,7,5,13
170,26,8,6,3
177,26,9,2,10
179,26,10,7,12
174,26,12,4,7
176,26,13,6,9
178,26,14,9,11
181,26,15,7,14
186,26,16,10,19
169,26,17,9,2
184,26,18,11,17
175,26,20,5,8
187,26,21,10,20
183,26,22,11,16
188,27,1,1,1
199,27,2,2,12
200,27,3,3,13
192,27,4,4,5
190,27,5,1,3
203,27,6,3,16
202,27,7,5,15
193,27,8,6,6
194,27,9,2,7
198,27,10,7,11
204,27,12,4,17
189,27,13,6,2
197,27,14,9,10
191,27,15,7,4
206,27,16,10,19
195,27,17,9,8
201,27,18,11,14
196,27,20,5,9
207,27,21,10,20
205,27,22,11,18
208,28,1,1,1
223,28,2,2,16
222,28,3,3,15
214,28,4,4,7
209,28,5,1,2
224,28,6,3,17
221,28,7,5,14
213,28,8,6,6
211,28,9,2,4
212,28,10,7,5
217,28,12,4,10
210,28,13,6,3
220,28,14,9,13
216,28,15,7,9
227,28,16,10,20
215,28,17,9,8
219,28,18,11,12
218,28,20,5,11
226,28,21,10,19
225,28,22,11,18
229,29,1,1,2
235,29,2,2,8
236,29,3,3,9
239,29,4,4,12
232,29,5,1,5
238,29,6,3,11
237,29,7,5,10
231,29,8,6,4
230,29,9,2,3
240,29,10,7,13
242,29,12,4,15
228,29,13,6,1
244,29,14,9,17
234,29,15,7,7
247,29,16,10,20
241,29,17,9,14
243,29,18,11,16
233,29,20,5,6
245,29,21,10,18
246,29,22,11,19
248,30,1,1,1
252,30,2,2,5
262,30,3,3,15
253,30,4,4,6
250,30,5,1,3
266,30,6,3,19
256,30,7,5,9
251,30,8,6,4
255,30,9,2,8
260,30,10,7,13
259,30,12,4,12
249,30,13,6,2
261,30,14,9,14
258,30,15,7,11
265,30,16,10,18
254,30,17,9,7
264,30,18,11,17
257,30,20,5,10
267,30,21,10,20
263,30,22,11,16
282,31,1,1,15
277,31,2,2,10
272,31,3,3,5
275,31,4,4,8
269,31,5,1,2
285,31,6,3,18
271,31,7,5,4
281,31,8,6,14
278,31,9,2,11
276,31,10,7,9
284,31,12,4,17
273,31,13,6,6
280,31,14,9,13
274,31,15,7,7
287,31,16,10,20
270,31,17,9,3
286,31,18,11,19
268,31,20,5,1
279,31,21,10,12
283,31,22,11,16
289,32,1,1,2
293,32,2,2,6
296,32,3,3,9
302,32,4,4,15
292,32,5,1,5
297,32,6,3,10
304,32,7,5,17
290,32,8,6,3
291,32,9,2,4
295,32,10,7,8
303,32,12,4,16
288,32,13,6,1
301,32,14,9,14
298,32,15,7,11
306,32,16,10,19
300,32,17,9,13
299,32,18,11,12
294,32,20,5,7
307,32,21,10,20
305,32,22,11,18
308,33,1,1,1
323,33,2,2,16
322,33,3,3,15
311,33,4,4,4
310,33,5,1,3
321,33,6,3,14
317,33,7,5,10
309,33,8,6,2
313,33,9,2,6
315,33,10,7,8
319,33,12,4,12
312,33,13,6,5
318,33,14,9,11
314,33,15,7,7
326,33,16,10,19
320,33,17,9,13
325,33,18,11,18
316,33,20,5,9
327,33,21,10,20
324,33,22,11,17
328,34,1,1,1
334,34,2,2,7
342,34,3,3,15
331,34,4,4,4
332,34,5,1,5
344,34,6,3,17
337,34,7,5,10
329,34,8,6,2
339,34,9,2,12
340,34,10,7,13
338,34,12,4,11
330,34,13,6,3
343,34,14,9,16
336,34,15,7,9
346,34,16,10,19
333,34,17,9,6
345,34,18,11,18
335,34,20,5,8
347,34,21,10,20
341,34,22,11,14
351,35,1,1,4
355,35,2,2,8
365,35,3,3,18
353,35,4,4,6
352,35,5,1,5
363,35,6,3,16
356,35,7,5,9
350,35,8,6,3
360,35,9,2,13
357,35,10,7,10
358,35,12,4,11
348,35,13,6,1
361,35,14,9,14
349,35,15,7,2
367,35,16,10,20
359,35,17,9,12
364,35,18,11,17
354,35,20,5,7
366,35,21,10,19
362,35,22,11,15
371,36,1,1,4
370,36,2,2,3
379,36,3,3,12
369,36,4,1,2
380,36,5,4,13
368,36,8,6,1
372,36,9,2,5
377,36,11,8,10
383,36,13,6,16
386,36,14,9,19
375,36,15,7,8
388,36,16,12,21
374,36,17,9,7
381,36,18,11,14
378,36,19,8,11
373,36,21,4,6
384,36,22,11,17
376,36,23,7,9
387,36,24,5,20
382,36,25,3,15
385,36,26,5,18
389,36,27,12,22
393,37,1,1,4
394,37,2,2,5
395,37,3,3,6
391,37,4,1,2
400,37,5,4,11
392,37,8,6,3
396,37,9,2,7
403,37,11,8,14
390,37,13,6,1
402,37,14,9,13
397,37,15,7,8
411,37,16,12,22
399,37,17,9,10
404,37,18,11,15
407,37,19,8,18
401,37,21,4,12
408,37,22,11,19
398,37,23,7,9
405,37,24,5,16
409,37,25,3,20
406,37,26,5,17
410,37,27,12,21
413,38,1,1,2
416,38,2,2,5
421,38,3,3,10
415,38,4,1,4
423,38,5,4,12
414,38,8,6,3
417,38,9,2,6
428,38,11,8,17
412,38,13,6,1
432,38,14,9,21
420,38,15,7,9
431,38,16,12,20
419,38,17,9,8
427,38,18,11,16
424,38,19,8,13
418,38,21,4,7
426,38,22,11,15
425,38,23,7,14
429,38,24,5,18
422,38,25,3,11
430,38,26,5,19
433,38,27,12,22
437,39,1,1,4
440,39,2,2,7
444,39,3,3,11
435,39,4,1,2
441,39,5,4,8
436,39,8,6,3
438,39,9,2,5
446,39,11,8,13
434,39,13,6,1
442,39,14,9,9
439,39,15,7,6
453,39,16,12,20
452,39,17,9,19
447,39,18,11,14
448,39,19,8,15
443,39,21,4,10
445,39,22,11,12
450,39,23,7,17
449,39,24,5,16
451,39,25,3,18
455,39,26,5,22
454,39,27,12,21
457,40,1,1,2
462,40,2,2,7
460,40,3,3,5
456,40,4,1,1
470,40,5,4,15
471,40,8,6,16
463,40,9,2,8
476,40,11,8,21
458,40,13,6,3
468,40,14,9,13
469,40,15,7,14
474,40,16,12,19
461,40,17,9,6
465,40,18,11,10
472,40,19,8,17
459,40,21,4,4
464,40,22,11,9
475,40,23,7,20
467,40,24,5,12
466,40,25,3,11
473,40,26,5,18
477,40,27,12,22
478,41,1,1,1
480,41,2,2,3
484,41,3,3,7
479,41,4,1,2
499,41,5,4,22
481,41,8,6,4
485,41,9,2,8
488,41,11,8,11
482,41,13,6,5
491,41,14,9,14
487,41,15,7,10
497,41,16,12,20
483,41,17,9,6
492,41,18,11,15
494,41,19,8,17
486,41,21,4,9
490,41,22,11,13
495,41,23,7,18
489,41,24,5,12
496,41,25,3,19
493,41,26,5,16
498,41,27,12,21
500,42,1,1,1
504,42,2,2,5
513,42,3,3,14
501,42,4,1,2
505,42,5,4,6
503,42,8,6,4
517,42,11,8,18
502,42,13,6,3
510,42,14,9,11
507,42,15,7,8
520,42,16,12,21
508,42,17,9,9
512,42,18,11,13
515,42,19,8,16
506,42,20,2,7
509,42,21,4,10
514,42,22,11,15
511,42,23,7,12
518,42,24,5,19
516,42,25,3,17
519,42,26,5,20
521,42,27,12,22
523,43,1,1,2
528,43,2,2,7
530,43,3,3,9
531,43,4,1,10
527,43,5,4,6
524,43,8,6,3
525,43,9,2,4
543,43,11,8,22
522,43,13,6,1
537,43,14,9,16
529,43,15,7,8
542,43,16,12,21
535,43,17,9,14
533,43,18,11,12
540,43,19,8,19
526,43,21,4,5
534,43,22,11,13
532,43,23,7,11
538,43,24,5,17
539,43,25,3,18
536,43,26,5,15
541,43,27,12,20
544,44,1,1,1
552,44,2,2,9
560,44,3,3,17
546,44,4,1,3
550,44,5,4,7
545,44,8,6,2
548,44,9,2,5
564,44,11,8,21
547,44,13,6,4
555,44,14,9,12
553,44,15,7,10
563,44,16,12,20
554,44,17,9,11
561,44,18,11,18
562,44,19,8,19
551,44,21,4,8
557,44,22,11,14
549,44,23,7,6
559,44,24,5,16
556,44,25,3,13
558,44,26,5,15
565,44,27,12,22
575,45,1,1,10
569,45,2,2,4
576,45,3,3,11
567,45,4,1,2
572,45,5,4,7
566,45,8,6,1
570,45,9,2,5
581,45,11,8,16
568,45,13,6,3
585,45,14,9,20
573,45,15,7,8
586,45,16,12,21
571,45,17,9,6
582,45,18,11,17
580,45,19,8,15
578,45,21,4,13
579,45,22,11,14
574,45,23,7,9
584,45,24,5,19
577,45,25,3,12
583,45,26,5,18
587,45,28,12,22
589,46,1,1,2
590,46,2,2,3
592,46,3,3,5
588,46,4,1,1
599,46,5,4,12
591,46,8,6,4
594,46,9,2,7
606,46,11,8,19
601,46,13,6,14
598,46,14,9,11
596,46,15,7,9
608,46,16,12,21
597,46,17,9,10
604,46,18,11,17
602,46,19,8,15
607,46,20,5,20
595,46,21,4,8
605,46,22,11,18
593,46,23,7,6
603,46,24,5,16
600,46,25,3,13
609,46,29,12,22
611,47,1,1,2
615,47,2,2,6
617,47,3,3,8
613,47,4,1,4
616,47,5,4,7
612,47,8,6,3
614,47,9,2,5
626,47,11,8,17
610,47,13,6,1
622,47,14,9,13
618,47,15,7,9
628,47,16,12,19
621,47,17,9,12
630,47,18,11,21
620,47,19,8,11
627,47,20,5,18
619,47,21,4,10
631,47,22,11,22
625,47,23,7,16
624,47,24,5,15
623,47,25,3,14
629,47,29,12,20
633,48,1,1,2
635,48,2,2,4
639,48,3,3,8
632,48,4,1,1
638,48,5,4,7
636,48,8,6,5
637,48,9,2,6
648,48,11,8,17
634,48,13,6,3
651,48,14,9,20
640,48,15,7,9
652,48,16,12,21
642,48,17,9,11
641,48,18,11,10
645,48,19,8,14
647,48,20,5,16
646,48,21,4,15
643,48,22,11,12
649,48,23,7,18
650,48,24,5,19
644,48,25,3,13
653,48,29,12,22
657,49,1,1,4
659,49,2,2,6
658,49,3,3,5
656,49,4,1,3
662,49,5,4,9
654,49,8,6,1
667,49,9,2,14
671,49,11,8,18
655,49,13,6,2
664,49,14,9,11
661,49,15,7,8
672,49,16,12,19
660,49,17,9,7
665,49,18,11,12
673,49,19,8,20
669,49,20,5,16
675,49,21,4,22
670,49,22,11,17
663,49,23,7,10
666,49,24,5,13
668,49,25,3,15
674,49,29,12,21
676,50,1,1,1
680,50,2,2,5
691,50,3,3,16
677,50,4,1,2
686,50,5,4,11
678,50,8,6,3
684,50,9,2,9
696,50,11,8,21
679,50,13,6,4
687,50,14,9,12
688,50,15,7,13
695,50,16,12,20
682,50,17,9,7
681,50,18,11,6
694,50,19,8,19
683,50,20,5,8
685,50,21,4,10
692,50,22,11,17
690,50,23,7,15
689,50,24,5,14
693,50,25,3,18
697,50,29,12,22
698,51,1,1,1
705,51,2,2,8
712,51,3,3,15
701,51,4,1,4
710,51,5,4,13
699,51,8,6,2
706,51,9,2,9
717,51,11,8,20
700,51,13,6,3
702,51,14,9,5
709,51,15,7,12
718,51,16,12,21
704,51,17,9,7
707,51,18,11,10
711,51,19,8,14
714,51,20,5,17
715,51,21,4,18
713,51,22,11,16
703,51,23,7,6
708,51,24,5,11
716,51,25,3,19
719,51,29,12,22
721,52,1,1,2
725,52,2,2,6
729,52,3,3,10
723,52,4,1,4
736,52,5,4,17
738,52,6,3,19
722,52,8,6,3
726,52,9,2,7
737,52,11,8,18
720,52,13,6,1
728,52,14,9,9
727,52,15,7,8
740,52,16,12,21
724,52,17,9,5
735,52,18,11,16
739,52,19,8,20
732,52,20,5,13
731,52,21,4,12
730,52,22,11,11
734,52,23,7,15
733,52,24,5,14
741,52,29,12,22
751,53,2,2,10
753,53,3,3,12
745,53,4,4,4
763,53,8,1,22
761,53,11,8,20
743,53,13,6,2
754,53,14,9,13
755,53,15,7,14
748,53,17,3,7
744,53,18,11,3
750,53,21,4,9
747,53,22,11,6
758,53,23,7,17
756,53,24,5,15
757,53,26,5,16
759,53,27,13,18
742,53,30,6,1
746,53,31,1,5
749,53,32,9,8
760,53,33,13,19
762,53,34,8,21
752,53,35,2,11
778,54,2,2,15
766,54,3,3,3
771,54,4,4,8
770,54,8,1,7
784,54,11,8,21
779,54,13,6,16
774,54,14,9,11
776,54,15,7,13
768,54,17,3,5
765,54,18,11,2
764,54,21,4,1
775,54,22,11,12
773,54,23,7,10
781,54,24,5,18
780,54,26,5,17
782,54,27,13,19
767,54,30,6,4
769,54,31,1,6
772,54,32,9,9
783,54,33,13,20
785,54,34,8,22
777,54,35,2,14
793,55,2,2,8
800,55,3,3,15
788,55,4,4,3
789,55,8,1,4
806,55,11,8,21
801,55,13,6,16
797,55,14,9,12
795,55,15,7,10
792,55,17,3,7
786,55,18,11,1
