,RaceId,DriverId,ConstructorId_x,GridNumber,DriverPosition,ConstructorId_y,QualifyingPosition
0,1,1,1,18,\N,1.0,15.0
1,1,2,2,9,10,2.0,11.0
2,1,3,3,5,6,3.0,5.0
3,1,4,4,10,5,4.0,12.0
4,1,5,1,12,\N,1.0,14.0
5,1,6,3,11,\N,3.0,13.0
6,1,7,5,17,8,5.0,20.0
7,1,8,6,7,15,6.0,9.0
8,1,9,2,4,14,2.0,4.0
9,1,10,7,19,4,7.0,6.0
10,1,12,4,14,\N,4.0,17.0
11,1,13,6,6,\N,6.0,7.0
12,1,15,7,20,3,7.0,8.0
13,1,16,10,16,9,10.0,19.0
14,1,17,9,8,12,9.0,10.0
15,1,18,23,1,1,23.0,1.0
16,1,20,9,3,13,9.0,3.0
17,1,21,10,15,11,10.0,18.0
18,1,22,23,2,2,23.0,2.0
19,1,67,5,13,7,5.0,16.0
20,2,1,1,12,7,1.0,13.0
21,2,2,2,10,2,2.0,11.0
22,2,3,3,4,8,3.0,6.0
23,2,4,4,9,11,4.0,10.0
24,2,5,1,14,\N,1.0,14.0
25,2,6,3,11,12,3.0,12.0
26,2,7,5,15,10,5.0,15.0
27,2,8,6,7,14,6.0,9.0
28,2,9,2,6,\N,2.0,8.0
29,2,10,7,3,3,7.0,5.0
30,2,12,4,17,13,4.0,17.0
31,2,13,6,16,9,6.0,16.0
32,2,15,7,2,4,7.0,2.0
33,2,16,10,19,17,10.0,19.0
34,2,17,9,5,6,9.0,7.0
35,2,18,23,1,1,23.0,1.0
36,2,20,9,13,15,9.0,3.0
37,2,21,10,18,18,10.0,18.0
38,2,22,23,8,5,23.0,4.0
39,2,67,5,20,16,5.0,20.0
40,3,1,1,9,6,1.0,9.0
41,3,2,2,11,12,2.0,11.0
42,3,3,3,7,15,3.0,7.0
43,3,4,4,2,9,4.0,2.0
44,3,5,1,12,5,1.0,12.0
45,3,6,3,14,\N,3.0,15.0
46,3,7,5,15,11,5.0,16.0
47,3,8,6,8,10,6.0,8.0
48,3,9,2,17,13,2.0,18.0
49,3,10,7,19,7,7.0,14.0
50,3,12,4,16,16,4.0,17.0
51,3,13,6,13,\N,6.0,13.0
52,3,15,7,6,\N,7.0,6.0
53,3,16,10,18,17,10.0,19.0
54,3,17,9,3,2,9.0,3.0
55,3,18,23,5,3,23.0,5.0
56,3,20,9,1,1,9.0,1.0
57,3,21,10,20,14,10.0,20.0
58,3,22,23,4,4,23.0,4.0
59,3,67,5,10,8,5.0,10.0
60,4,1,1,5,4,1.0,5.0
61,4,2,2,14,19,2.0,14.0
62,4,3,3,9,9,3.0,9.0
63,4,4,4,7,8,4.0,7.0
64,4,5,1,11,12,1.0,11.0
65,4,6,3,12,\N,3.0,12.0
66,4,7,5,20,13,5.0,20.0
67,4,8,6,10,6,6.0,10.0
68,4,9,2,13,18,2.0,13.0
69,4,10,7,2,7,7.0,2.0
70,4,12,4,15,10,4.0,15.0
71,4,13,6,8,14,6.0,8.0
72,4,15,7,1,3,7.0,1.0
73,4,16,10,19,16,10.0,16.0
74,4,17,9,18,11,9.0,19.0
75,4,18,23,4,1,23.0,4.0
76,4,20,9,3,2,9.0,3.0
77,4,21,10,17,15,10.0,18.0
78,4,22,23,6,5,23.0,6.0
79,4,67,5,16,17,5.0,17.0
80,5,1,1,14,9,1.0,14.0
81,5,2,2,13,7,2.0,13.0
82,5,3,3,9,8,3.0,9.0
83,5,4,4,8,5,4.0,8.0
84,5,5,1,18,\N,1.0,18.0
85,5,6,3,11,13,3.0,11.0
86,5,7,5,17,\N,5.0,17.0
87,5,8,6,16,\N,6.0,16.0
88,5,9,2,10,11,2.0,10.0
89,5,10,7,6,10,7.0,6.0
90,5,12,4,12,12,4.0,12.0
91,5,13,6,4,6,6.0,4.0
92,5,15,7,7,\N,7.0,7.0
93,5,16,10,19,\N,10.0,19.0
94,5,17,9,5,3,9.0,5.0
