,RaceId,DriverId,ConstructorId,GridNumber,DriverPosition
0,18,1,1,1,1
1,18,2,2,5,2
2,18,3,3,7,3
3,18,4,4,11,4
4,18,5,1,3,5
5,18,6,3,13,6
6,18,7,5,17,7
7,18,8,6,15,8
8,18,9,2,2,\N
9,18,10,7,18,\N
10,18,11,8,19,\N
11,18,12,4,20,\N
12,18,13,6,4,\N
13,18,14,9,8,\N
14,18,15,7,6,\N
15,18,16,10,22,\N
16,18,17,9,14,\N
17,18,18,11,12,\N
18,18,19,8,21,\N
19,18,20,5,9,\N
20,18,21,10,16,\N
21,18,22,11,10,\N
22,19,8,6,2,1
23,19,9,2,4,2
24,19,5,1,8,3
25,19,15,7,3,4
26,19,1,1,9,5
27,19,2,2,5,6
28,19,17,9,6,7
29,19,4,4,7,8
30,19,14,9,12,9
31,19,18,11,11,10
32,19,12,4,13,11
33,19,21,10,17,12
34,19,22,11,14,13
35,19,3,3,16,14
36,19,19,8,21,15
37,19,11,8,19,16
38,19,6,3,22,17
39,19,20,5,15,\N
40,19,13,6,1,\N
41,19,16,10,20,\N
42,19,10,7,10,\N
43,19,7,5,18,\N
44,20,13,6,2,1
45,20,8,6,4,2
46,20,9,2,1,3
47,20,2,2,6,4
48,20,5,1,5,5
49,20,15,7,7,6
50,20,17,9,11,7
51,20,3,3,8,8
52,20,10,7,13,9
53,20,4,4,10,10
54,20,22,11,12,11
55,20,21,10,18,12
56,20,1,1,3,13
57,20,6,3,16,14
58,20,7,5,15,15
59,20,19,8,21,16
60,20,11,8,22,17
61,20,14,9,17,18
62,20,16,10,20,19
63,20,12,4,14,\N
64,20,18,11,9,\N
65,20,20,5,19,\N
66,21,8,6,1,1
67,21,13,6,3,2
68,21,1,1,5,3
69,21,9,2,4,4
70,21,17,9,7,5
71,21,18,11,13,6
72,21,6,3,12,7
73,21,15,7,8,8
74,21,2,2,9,9
75,21,21,10,19,10
76,21,10,7,14,11
77,21,14,9,17,12
78,21,11,8,22,13
79,21,3,3,15,\N
80,21,4,4,2,\N
81,21,22,11,11,\N
